Time;N1_i3;N1_ai3;N1_i1;N1_ai1;N1_P4;N1_Q4;N1_P3;N1_Q3;N1_i2;N1_ai2;N1_i4;N1_ai4;N1_P1;N1_Q1;N1_P2;N1_Q2;N1_r;N1_u;N1_au;N1_f;N1_i3;N1_ai3;N1_i1;N1_ai1;N1_i2;N1_ai2;N1_i4;N1_ai4;N1_u;N1_au;N4_i2;N4_ai2;N4_i3;N4_ai3;N4_i4;N4_ai4;N4_i1;N4_ai1;N4_u;N4_au;N2_i1;N2_ai1;N2_i5;N2_ai5;N2_i6;N2_ai6;N2_i4;N2_ai4;N2_i3;N2_ai3;N2_i2;N2_ai2;N2_u;N2_au;N10_u;N10_au;N10_i1;N10_ai1;N10_i2;N10_ai2;N10_i4;N10_ai4;N10_i3;N10_ai3
2017-01-01 00:00:00.000;651.914734;-100.774662;136.814341;110.297570;112062256.800000;22939803.160000;210574.502200;210574.502200;676.832013;110.921776;162.709216;-74.812740;-95811398.490000;-10318150.610000;-473476768.100000;-48326848.250000;-0.125002;406084.010100;-63.240939;49.994673;651.914734;-100.774662;136.814341;110.297570;676.832013;110.921777;162.709217;-74.812740;406084.010090;-63.240939;102.011095;-17.550343;107.574976;-14.187619;1006.006724;135.660713;590.367610;-48.359377;409932.202947;-56.582918;253.578161;-44.251078;48.212396;-132.414206;49.031431;-132.699715;64.606814;-62.156756;580.932072;125.268969;252.749786;-40.911037;410002.269987;-60.106926;116100.242160;-66.964559;130.278959;105.645348;13.052526;-37.733992;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.020;651.914734;-100.774662;136.814341;110.297570;112062256.800000;22834332.800000;210574.502200;210574.502200;677.274861;110.880927;162.670904;-74.862532;-95811398.490000;-10318150.610000;-473897917.100000;-48116273.750000;0.005000;406082.750400;-63.303522;49.993147;651.914734;-100.774662;136.814341;110.297570;677.274861;110.880927;162.670904;-74.862532;406082.750387;-63.303522;101.643611;-17.442687;107.219358;-14.074213;1005.788171;135.601849;590.392033;-48.399515;409944.973330;-56.630584;253.368400;-44.297307;48.212396;-132.414206;49.031431;-132.699715;64.866002;-62.277616;581.002243;125.228700;252.749786;-40.911037;409947.411353;-60.153674;116080.613796;-67.217319;131.880815;105.842953;12.100958;-37.932013;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.040;652.245633;-100.926351;136.612190;110.067087;111956786.400000;22939803.160000;210574.502200;210574.502200;677.783711;110.785030;162.594648;-74.962184;-95390249.490000;-10739299.610000;-474108491.600000;-48747997.250000;0.075001;406064.428100;-63.346076;49.993147;652.245633;-100.926351;136.612190;110.067087;677.783711;110.785030;162.594647;-74.962184;406064.428072;-63.346076;101.643611;-17.442687;106.935216;-14.112384;1005.779809;135.554648;590.416745;-48.439650;409924.876878;-56.675202;253.578161;-44.251078;48.212396;-132.414206;48.932213;-132.573664;64.990256;-62.626393;581.072701;125.188440;252.941739;-40.961188;409946.969875;-60.198378;116265.902901;-67.764882;135.377114;105.805680;10.699746;-37.874984;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.060;653.971642;-100.897160;136.814341;110.297570;111956786.400000;22834332.800000;210574.502200;210574.502200;678.435462;110.790602;162.594648;-74.962184;-95811398.490000;-10318150.610000;-474529640.700000;-48116273.750000;-0.125002;406010.793500;-63.398644;49.994673;653.971642;-100.897160;136.814341;110.297570;678.435462;110.790602;162.594647;-74.962184;406010.793586;-63.398644;101.556180;-17.285005;106.935216;-14.112384;1006.186420;135.507238;590.855292;-48.477343;409883.260191;-56.724460;253.368400;-44.297307;48.302877;-132.787958;49.023554;-132.941630;65.385233;-62.516458;581.383014;125.131570;252.941739;-40.961188;409961.532755;-60.250648;116321.027518;-68.120660;136.434553;105.680011;10.828236;-37.959961;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.080;654.194190;-100.997944;137.162696;109.983106;111956786.400000;22939803.160000;210574.502200;210574.502200;678.775676;110.726809;162.518883;-75.061930;-95811398.490000;-10739299.610000;-474740215.200000;-48326848.250000;0.065001;406010.723800;-63.448720;49.993147;654.194191;-100.997944;137.162696;109.983107;678.775676;110.726809;162.518883;-75.061930;406010.723761;-63.448720;101.364160;-17.492325;106.651121;-14.150759;1005.973964;135.471948;591.074661;-48.496169;409951.799902;-56.770528;253.992434;-44.252300;48.502357;-133.041933;49.123461;-133.066699;65.250551;-62.744672;581.862296;125.098368;253.355019;-40.967787;409996.092995;-60.298099;116326.169978;-68.226408;136.743095;105.643724;11.149559;-38.163833;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.100;654.306223;-101.048310;136.963566;109.752752;111851316.100000;23045273.520000;210574.502200;210574.502200;678.946098;110.694937;162.443612;-75.161768;-95811398.490000;-10739299.610000;-474950789.700000;-48326848.250000;0.015000;406028.668600;-63.493786;49.994673;654.306223;-101.048310;136.963566;109.752752;678.946098;110.694937;162.443612;-75.161768;406028.668599;-63.493786;101.084786;-17.542236;106.651121;-14.150759;1005.964494;135.401158;591.319640;-48.555049;409932.483227;-56.815151;253.777942;-44.391986;48.402498;-132.915207;49.123461;-133.066699;65.385233;-62.516458;582.102010;125.081788;253.326224;-41.061261;409976.828431;-60.347616;116299.934419;-68.398519;136.718435;105.606777;11.221685;-37.874984;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.120;654.531805;-101.148990;136.766655;109.521730;111745845.700000;23045273.520000;210574.502200;210574.502200;679.013408;110.639950;162.264538;-75.198520;-95811398.490000;-11160448.620000;-474950789.700000;-48326848.250000;0.025000;405993.669800;-63.541365;49.994673;654.531805;-101.148990;136.766656;109.521730;679.013408;110.639951;162.264538;-75.198520;405993.669809;-63.541365;100.805488;-17.592425;106.439266;-14.342226;1006.375977;135.377406;592.146664;-48.550078;409913.415228;-56.859779;254.401647;-44.346819;48.188358;-133.152390;49.016551;-133.183618;65.116909;-62.973826;582.678587;125.112379;253.960500;-41.024266;410011.963299;-60.395056;116284.315735;-68.613064;136.728383;105.406539;11.306518;-38.424323;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.140;654.645354;-101.199304;137.125147;109.209169;111640375.400000;23150743.880000;210574.502200;210574.502200;679.355606;110.576288;162.189943;-75.298578;-95811398.490000;-12002746.620000;-475161364.200000;-48537422.750000;-0.015000;405905.539000;-63.578955;49.995436;654.645354;-101.199304;137.125147;109.209169;679.355606;110.576288;162.189943;-75.298578;405905.539021;-63.578955;100.526269;-17.642892;106.155462;-14.381395;1005.954255;135.306770;592.172462;-48.590087;409894.596024;-56.904411;254.192227;-44.392977;48.088293;-133.025066;48.816534;-132.932897;65.378013;-63.090489;582.821445;125.032130;253.739555;-41.067687;409943.852212;-60.434282;116282.934012;-68.855609;136.583472;105.184381;11.234936;-38.714497;0.032369;45.000000;0.032369;45.000000
2017-01-01 00:00:00.160;655.794938;-101.179418;136.571975;109.290046;111534905.000000;22939803.160000;210574.502200;210574.502200;679.629885;110.567608;162.048263;-75.285434;-95811398.490000;-11581597.620000;-475371938.700000;-48326848.250000;-0.035001;405959.753500;-63.626514;49.994673;655.794938;-101.179418;136.571975;109.290046;679.629884;110.567608;162.048263;-75.285434;405959.753527;-63.626514;100.526269;-17.642892;105.871707;-14.420773;1005.743968;135.271430;592.418436;-48.648820;409876.025482;-56.949047;254.602467;-44.487195;48.188358;-133.152390;48.916425;-133.058514;65.116909;-62.973826;582.893303;124.992020;253.711479;-41.161030;409925.429787;-60.483812;116264.819914;-69.094614;136.307949;104.976658;11.149559;-38.163833;0.032369;45.000000;0.032369;45.000000
